case,event,date,numeric
1269r,accept,2016-07-02 18:39:01,44580
1269r,send decision e-mail,2016-07-02 18:39:01,7580
1270r,register application,2016-07-02 10:39:01,5580
1270r,check credit,2016-07-02 13:39:01,5580
1270r,calculate capacity,2016-07-02 12:39:01,24580
1270r,check system,2016-07-02 18:39:01,6580
1270r,accept,2016-07-02 18:39:01,44580
1270r,send decision e-mail,2016-07-02 18:39:01,7580
1271r,register application,2016-07-02 10:39:01,5580
1271r,check credit,2016-07-02 13:39:01,5580
1271r,calculate capacity,2016-07-02 12:39:01,24580
1271r,check system,2016-07-02 18:41:01,5384
1271r,accept,2016-07-02 18:41:01,43384
1271r,send decision e-mail,2016-07-02 18:41:01,6384
1272r,register application,2016-07-02 10:41:01,4384
1272r,check credit,2016-07-02 13:41:01,4384
1272r,calculate capacity,2016-07-02 12:41:01,23384
1272r,check system,2016-07-02 18:41:01,5384
1272r,accept,2016-07-02 18:41:01,43384
1272r,send decision e-mail,2016-07-02 18:41:01,6384
1273r,register application,2016-07-02 10:41:01,4384
1273r,check credit,2016-07-02 13:41:01,4384
1273r,calculate capacity,2016-07-02 12:41:01,23384
1273r,check system,2016-07-02 18:41:01,5384
1273r,accept,2016-07-02 18:41:01,43384
1273r,send decision e-mail,2016-07-02 18:41:01,6384
1274r,register application,2016-07-02 10:41:01,4384
1274r,check credit,2016-07-02 13:41:01,4384
1274r,calculate capacity,2016-07-02 12:41:01,23384
1274r,check system,2016-07-02 18:41:01,5384
1274r,accept,2016-07-02 18:41:01,43384
1274r,send decision e-mail,2016-07-02 18:41:01,6384
1275r,register application,2016-07-03 10:41:01,4384
1275r,check credit,2016-07-03 13:41:01,4384
1275r,calculate capacity,2016-07-03 12:41:01,23384
1275r,check system,2016-07-03 18:41:01,5384
1275r,accept,2016-07-03 18:41:01,43384
1275r,send decision e-mail,2016-07-03 18:41:01,6384
1276r,register application,2016-07-03 10:41:01,4384
1276r,check credit,2016-07-03 13:41:01,4384
1276r,calculate capacity,2016-07-03 12:41:01,23384
1276r,check system,2016-07-03 18:41:01,5384
1276r,accept,2016-07-03 18:41:01,43384
1276r,send decision e-mail,2016-07-03 18:41:01,6384
1277r,register application,2016-07-03 10:41:01,4384
1277r,check credit,2016-07-03 13:41:01,4384
1277r,calculate capacity,2016-07-03 12:41:01,23384
1277r,check system,2016-07-03 18:41:01,5384
1277r,accept,2016-07-03 18:41:01,43384
1277r,send decision e-mail,2016-07-03 18:41:01,6384
1278r,register application,2016-07-03 10:41:01,4384
1278r,check credit,2016-07-03 13:41:01,4384
1278r,calculate capacity,2016-07-03 12:41:01,23384
1278r,check system,2016-07-03 18:41:01,5384
1278r,accept,2016-07-03 18:41:01,43384
1278r,send decision e-mail,2016-07-03 18:41:01,6384
1279r,register application,2016-07-03 10:41:01,4384
1279r,check credit,2016-07-03 13:41:01,4384
1279r,calculate capacity,2016-07-03 12:41:01,23384
1279r,check system,2016-07-03 18:41:01,5384
1279r,accept,2016-07-03 18:41:01,43384
1279r,send decision e-mail,2016-07-03 18:41:01,6384
1280r,register application,2016-07-03 10:41:01,4384
1280r,check credit,2016-07-03 13:00:01,2951
1280r,calculate capacity,2016-07-03 12:00:01,21951
1280r,check system,2016-07-03 18:00:01,3951
1280r,accept,2016-07-03 18:00:01,41951
1280r,send decision e-mail,2016-07-03 18:00:01,4951
1281r,register application,2016-07-03 10:00:01,2951
1281r,check credit,2016-07-03 13:00:01,2951
1281r,calculate capacity,2016-07-03 12:00:01,21951
1281r,check system,2016-07-03 18:00:01,3951
1281r,accept,2016-07-03 18:00:01,41951
1281r,send decision e-mail,2016-07-03 18:00:01,4951
1282r,register application,2016-07-04 10:00:01,2951
1282r,check credit,2016-07-04 13:00:01,2951
1282r,calculate capacity,2016-07-04 12:00:01,21951
1282r,check system,2016-07-04 18:00:01,3951
1282r,accept,2016-07-04 18:00:01,41951
1282r,send decision e-mail,2016-07-04 18:00:01,4951
1283r,register application,2016-07-04 10:00:01,2951
1283r,check credit,2016-07-04 13:00:01,2951
1283r,calculate capacity,2016-07-04 12:00:01,21951
1283r,check system,2016-07-04 18:00:01,3951
1283r,accept,2016-07-04 18:00:01,41951
1283r,send decision e-mail,2016-07-04 18:00:01,4951
1284r,register application,2016-07-04 10:00:01,2951
1284r,check credit,2016-07-04 13:00:01,2951
1284r,calculate capacity,2016-07-04 12:00:01,21951
1284r,check system,2016-07-04 18:00:01,3951
1284r,accept,2016-07-04 18:00:01,41951
1284r,send decision e-mail,2016-07-04 18:00:01,4951
1285r,register application,2016-07-04 10:00:01,2951
1285r,check credit,2016-07-04 13:00:01,2951
1285r,calculate capacity,2016-07-04 12:00:01,21951
1285r,check system,2016-07-04 18:00:01,3951
1285r,accept,2016-07-04 18:00:01,41951
1285r,send decision e-mail,2016-07-04 18:00:01,4951
1286r,register application,2016-07-04 10:00:01,2951
1286r,check credit,2016-07-04 13:00:01,2951
1286r,calculate capacity,2016-07-04 12:30:01,20374
1286r,check system,2016-07-04 18:30:01,2374
1286r,accept,2016-07-04 18:30:01,40374
1286r,send decision e-mail,2016-07-04 18:30:01,3374
1287r,register application,2016-07-04 10:30:01,1374
1287r,check credit,2016-07-04 13:30:01,1374
1287r,calculate capacity,2016-07-04 12:30:01,20374
1287r,check system,2016-07-04 18:30:01,2374
1287r,accept,2016-07-04 18:30:01,40374
1287r,send decision e-mail,2016-07-04 18:30:01,3374
1288r,register application,2016-07-04 10:30:01,1374
1288r,check credit,2016-07-04 13:30:01,1374
1288r,calculate capacity,2016-07-04 12:30:01,20374
1288r,check system,2016-07-04 18:30:01,2374
1288r,accept,2016-07-04 18:30:01,40374
1288r,send decision e-mail,2016-07-04 18:30:01,3374
1289r,register application,2016-07-05 10:30:01,1374
1289r,check credit,2016-07-05 13:30:01,1374
1289r,calculate capacity,2016-07-05 12:30:01,20374
1289r,check system,2016-07-05 18:30:01,2374
1289r,accept,2016-07-05 18:30:01,40374
1289r,send decision e-mail,2016-07-05 18:30:01,3374
1290r,register application,2016-07-05 10:30:01,1374
1290r,check credit,2016-07-05 13:30:01,1374
1290r,calculate capacity,2016-07-05 12:30:01,20374
1290r,check system,2016-07-05 18:30:01,2374
1290r,accept,2016-07-05 18:30:01,40374
1290r,send decision e-mail,2016-07-05 18:30:01,3374
1291r,register application,2016-07-05 10:30:01,1374
1291r,check credit,2016-07-05 13:30:01,1374
1291r,calculate capacity,2016-07-05 12:30:01,20374
1291r,check system,2016-07-05 18:30:01,2374
1291r,accept,2016-07-05 18:30:01,40374
1291r,send decision e-mail,2016-07-05 18:30:01,3374
1292r,register application,2016-07-05 10:30:01,1374
1292r,check credit,2016-07-05 13:30:01,1374
1292r,calculate capacity,2016-07-05 12:30:01,20374
1292r,check system,2016-07-05 18:30:01,2374
1292r,accept,2016-07-05 18:30:01,40374
1292r,send decision e-mail,2016-07-05 18:30:01,3374
1293r,register application,2016-07-05 10:30:01,1374
1293r,check credit,2016-07-05 13:30:01,1374
1293r,calculate capacity,2016-07-05 12:30:01,20374
1293r,check system,2016-07-05 18:30:01,2374
1293r,accept,2016-07-05 18:30:01,40374
1293r,send decision e-mail,2016-07-05 18:30:01,3374
1294r,register application,2016-07-05 10:30:01,1374
1294r,check credit,2016-07-05 13:30:01,1374
1294r,calculate capacity,2016-07-05 12:30:01,20374
1294r,check system,2016-07-05 18:10:01,3579
1294r,accept,2016-07-05 18:10:01,41579
1294r,send decision e-mail,2016-07-05 18:10:01,4579
1295r,register application,2016-07-05 10:10:01,2579
1295r,check credit,2016-07-05 13:10:01,2579
1295r,calculate capacity,2016-07-05 12:10:01,21579
1295r,check system,2016-07-05 18:10:01,3579
1295r,accept,2016-07-05 18:10:01,41579
1295r,send decision e-mail,2016-07-05 18:10:01,4579
1296r,register application,2016-07-06 10:10:01,2579
1296r,check credit,2016-07-06 13:10:01,2579
1296r,calculate capacity,2016-07-06 12:10:01,21579
1296r,check system,2016-07-06 18:10:01,3579
1296r,accept,2016-07-06 18:10:01,41579
1296r,send decision e-mail,2016-07-06 18:10:01,4579
1297r,register application,2016-07-06 10:10:01,2579
1297r,check credit,2016-07-06 13:10:01,2579
1297r,calculate capacity,2016-07-06 12:10:01,21579
1297r,check system,2016-07-06 18:10:01,3579
1297r,accept,2016-07-06 18:10:01,41579
1297r,send decision e-mail,2016-07-06 18:10:01,4579
1298r,register application,2016-07-06 10:10:01,2579
1298r,check credit,2016-07-06 13:10:01,2579
1298r,calculate capacity,2016-07-06 12:10:01,21579
1298r,check system,2016-07-06 18:10:01,3579
1298r,accept,2016-07-06 18:10:01,41579
1298r,send decision e-mail,2016-07-06 18:10:01,4579
1299r,register application,2016-07-06 10:10:01,2579
1299r,check credit,2016-07-06 13:10:01,2579
1299r,calculate capacity,2016-07-06 12:10:01,21579
1299r,check system,2016-07-06 18:10:01,3579
1299r,accept,2016-07-06 18:10:01,41579
1299r,send decision e-mail,2016-07-06 18:10:01,4579
1300r,register application,2016-07-06 10:10:01,2579
1300r,check credit,2016-07-06 13:10:01,2579
1300r,calculate capacity,2016-07-06 12:10:01,21579
1300r,check system,2016-07-06 18:10:01,3579
1300r,accept,2016-07-06 18:10:01,41579
1300r,send decision e-mail,2016-07-06 18:10:01,4579
1301r,register application,2016-07-06 10:10:01,2579
1301r,check credit,2016-07-06 13:10:01,2579
1301r,calculate capacity,2016-07-06 12:10:01,21579
1301r,check system,2016-07-06 18:10:01,3579
1301r,accept,2016-07-06 18:10:01,41579
1301r,send decision e-mail,2016-07-06 18:10:01,4579
1302r,register application,2016-07-06 10:10:01,2579
1302r,check credit,2016-07-06 13:10:01,2579
1302r,calculate capacity,2016-07-06 12:10:01,21579
1302r,check system,2016-07-06 18:10:01,3579
1302r,accept,2016-07-06 18:10:01,41579
1302r,send decision e-mail,2016-07-06 18:10:01,4579
1303r,register application,2016-07-07 10:00:01,2194
1303r,check credit,2016-07-07 13:00:01,2194
1303r,calculate capacity,2016-07-07 12:00:01,21194
1303r,check system,2016-07-07 18:00:01,3194
1303r,accept,2016-07-07 18:00:01,41194
1303r,send decision e-mail,2016-07-07 18:00:01,4194
1304r,register application,2016-07-07 10:00:01,2194
1304r,check credit,2016-07-07 13:00:01,2194
1304r,calculate capacity,2016-07-07 12:00:01,21194
1304r,check system,2016-07-07 18:00:01,3194
1304r,accept,2016-07-07 18:00:01,41194
1304r,send decision e-mail,2016-07-07 18:00:01,4194
1305r,register application,2016-07-07 10:00:01,2194
1305r,check credit,2016-07-07 13:00:01,2194
1305r,calculate capacity,2016-07-07 12:00:01,21194
1305r,check system,2016-07-07 18:00:01,3194
1305r,accept,2016-07-07 18:00:01,41194
1305r,send decision e-mail,2016-07-07 18:00:01,4194
1306r,register application,2016-07-07 10:00:01,2194
1306r,check credit,2016-07-07 13:00:01,2194
1306r,calculate capacity,2016-07-07 12:00:01,21194
1306r,check system,2016-07-07 18:00:01,3194
1306r,accept,2016-07-07 18:00:01,41194
1306r,send decision e-mail,2016-07-07 18:00:01,4194
1307r,register application,2016-07-07 10:00:01,2194
1307r,check credit,2016-07-07 13:00:01,2194
1307r,calculate capacity,2016-07-07 12:00:01,21194
1307r,check system,2016-07-07 18:00:01,3194
1307r,accept,2016-07-07 18:00:01,41194
1307r,send decision e-mail,2016-07-07 18:00:01,4194
1308r,register application,2016-07-07 10:00:01,2194
1308r,check credit,2016-07-07 13:00:01,2194
1308r,calculate capacity,2016-07-07 12:00:01,21194
1308r,check system,2016-07-07 18:00:01,3194
1308r,accept,2016-07-07 18:00:01,41194
1308r,send decision e-mail,2016-07-07 18:00:01,4194
1309r,register application,2016-07-07 10:00:01,2194
1309r,check credit,2016-07-07 13:00:01,2194
1309r,calculate capacity,2016-07-07 12:00:01,21194
1309r,check system,2016-07-07 18:00:01,3194
1309r,accept,2016-07-07 18:00:01,41194
1309r,send decision e-mail,2016-07-07 18:00:01,4194
1310r,register application,2016-07-08 10:00:01,2194
1310r,check credit,2016-07-08 13:00:01,2194
1310r,calculate capacity,2016-07-08 12:00:01,21194
1310r,check system,2016-07-08 18:00:01,3194
1310r,accept,2016-07-08 18:00:01,41194
1310r,send decision e-mail,2016-07-08 18:00:01,4194
1311r,register application,2016-07-08 10:00:01,2194
1311r,check credit,2016-07-08 13:00:01,2194
1311r,calculate capacity,2016-07-08 12:00:01,21194
1311r,check system,2016-07-08 18:00:01,3194
1311r,accept,2016-07-08 18:38:01,41685
1311r,send decision e-mail,2016-07-08 18:38:01,4685
1312r,register application,2016-07-08 10:38:01,2685
1312r,check credit,2016-07-08 13:38:01,2685
1312r,calculate capacity,2016-07-08 12:38:01,21685
1312r,check system,2016-07-08 18:38:01,3685
1312r,accept,2016-07-08 18:38:01,41685
1312r,send decision e-mail,2016-07-08 18:38:01,4685
1313r,register application,2016-07-08 10:38:01,2685
1313r,check credit,2016-07-08 13:38:01,2685
1313r,calculate capacity,2016-07-08 12:38:01,21685
1313r,check system,2016-07-08 18:38:01,3685
1313r,accept,2016-07-08 18:38:01,41685
1313r,send decision e-mail,2016-07-08 18:38:01,4685
1314r,register application,2016-07-08 10:38:01,2685
1314r,check credit,2016-07-08 13:38:01,2685
1314r,calculate capacity,2016-07-08 12:38:01,21685
1314r,check system,2016-07-08 18:38:01,3685
1314r,accept,2016-07-08 18:38:01,41685
1314r,send decision e-mail,2016-07-08 18:38:01,4685
1315r,register application,2016-07-08 10:38:01,2685
1315r,check credit,2016-07-08 13:38:01,2685
1315r,calculate capacity,2016-07-08 12:38:01,21685
1315r,check system,2016-07-08 18:38:01,3685
1315r,accept,2016-07-08 18:38:01,41685
1315r,send decision e-mail,2016-07-08 18:38:01,4685
1316r,register application,2016-07-08 10:38:01,2685
1316r,check credit,2016-07-08 13:38:01,2685
1316r,calculate capacity,2016-07-08 12:38:01,21685
1316r,check system,2016-07-08 18:38:01,3685
1316r,accept,2016-07-08 18:38:01,41685
1316r,send decision e-mail,2016-07-08 18:38:01,4685
1317r,register application,2016-07-09 10:38:01,2685
1317r,check credit,2016-07-09 13:38:01,2685
1317r,calculate capacity,2016-07-09 12:38:01,21685
1317r,check system,2016-07-09 18:38:01,3685
1317r,accept,2016-07-09 18:38:01,41685
1317r,send decision e-mail,2016-07-09 18:38:01,4685
1318r,register application,2016-07-09 10:38:01,2685
1318r,check credit,2016-07-09 13:38:01,2685
1318r,calculate capacity,2016-07-09 12:38:01,21685
1318r,check system,2016-07-09 18:38:01,3685
1318r,accept,2016-07-09 18:38:01,41685
1318r,send decision e-mail,2016-07-09 18:38:01,4685
1319r,register application,2016-07-09 10:38:01,2685
1319r,check credit,2016-07-09 13:38:01,2685
1319r,calculate capacity,2016-07-09 12:38:01,21685
1319r,check system,2016-07-09 18:38:01,3685
1319r,accept,2016-07-09 18:38:01,41685
1319r,send decision e-mail,2016-07-09 18:38:01,4685
1320r,register application,2016-07-09 10:38:01,2685
1320r,check credit,2016-07-09 13:38:01,2685
1320r,calculate capacity,2016-07-09 12:38:01,21685
1320r,check system,2016-07-09 18:38:01,3685
1320r,accept,2016-07-09 18:52:01,40522
1320r,send decision e-mail,2016-07-09 18:52:01,3522
1321r,register application,2016-07-09 10:52:01,1522
1321r,check credit,2016-07-09 13:52:01,1522
1321r,calculate capacity,2016-07-09 12:52:01,20522
1321r,check system,2016-07-09 18:52:01,2522
1321r,accept,2016-07-09 18:52:01,40522
1321r,send decision e-mail,2016-07-09 18:52:01,3522
1322r,register application,2016-07-09 10:52:01,1522
1322r,check credit,2016-07-09 13:52:01,1522
1322r,calculate capacity,2016-07-09 12:52:01,20522
1322r,check system,2016-07-09 18:52:01,2522
1322r,accept,2016-07-09 18:52:01,40522
1322r,send decision e-mail,2016-07-09 18:52:01,3522
1323r,register application,2016-07-09 10:52:01,1522
1323r,check credit,2016-07-09 13:52:01,1522
1323r,calculate capacity,2016-07-09 12:52:01,20522
1323r,check system,2016-07-09 18:52:01,2522
1323r,accept,2016-07-09 18:52:01,40522
1323r,send decision e-mail,2016-07-09 18:52:01,3522
1324r,register application,2016-07-10 10:52:01,1522
1324r,check credit,2016-07-10 13:52:01,1522
1324r,calculate capacity,2016-07-10 12:52:01,20522
1324r,check system,2016-07-10 18:52:01,2522
1324r,accept,2016-07-10 18:52:01,40522
1324r,send decision e-mail,2016-07-10 18:52:01,3522
1325r,register application,2016-07-10 10:52:01,1522
1325r,check credit,2016-07-10 13:52:01,1522
1325r,calculate capacity,2016-07-10 12:52:01,20522
1325r,check system,2016-07-10 18:52:01,2522
1325r,accept,2016-07-10 18:52:01,40522
1325r,send decision e-mail,2016-07-10 18:52:01,3522
1326r,register application,2016-07-10 10:52:01,1522
1326r,check credit,2016-07-10 13:52:01,1522
1326r,calculate capacity,2016-07-10 12:52:01,20522
1326r,check system,2016-07-10 18:52:01,2522
1326r,accept,2016-07-10 18:52:01,40522
1326r,send decision e-mail,2016-07-10 18:52:01,3522
1327r,register application,2016-07-10 10:52:01,1522
1327r,check credit,2016-07-10 13:52:01,1522
1327r,calculate capacity,2016-07-10 12:52:01,20522
1327r,check system,2016-07-10 18:52:01,2522
1327r,accept,2016-07-10 18:52:01,40522
1327r,send decision e-mail,2016-07-10 18:52:01,3522
1328r,register application,2016-07-10 10:52:01,1522
1328r,check credit,2016-07-10 13:52:01,1522
1328r,calculate capacity,2016-07-10 12:52:01,20522
1328r,check system,2016-07-10 18:52:01,2522
1328r,accept,2016-07-10 18:52:01,40522
1328r,send decision e-mail,2016-07-10 18:52:01,3522
1329r,register application,2016-07-10 10:52:01,1522
1329r,check credit,2016-07-10 13:52:01,1522
1329r,calculate capacity,2016-07-10 12:52:01,20522
1329r,check system,2016-07-10 18:52:01,2522
1329r,accept,2016-07-10 18:52:01,40522
1329r,send decision e-mail,2016-07-10 18:09:01,6871
1330r,register application,2016-07-10 10:09:01,4871
1330r,check credit,2016-07-10 13:09:01,4871
1330r,calculate capacity,2016-07-10 12:09:01,23871
1330r,check system,2016-07-10 18:09:01,5871
1330r,accept,2016-07-10 18:09:01,43871
1330r,send decision e-mail,2016-07-10 18:09:01,6871
1331r,register application,2016-07-11 10:09:01,4871
1331r,check credit,2016-07-11 13:09:01,4871
1331r,calculate capacity,2016-07-11 12:09:01,23871
1331r,check system,2016-07-11 18:09:01,5871
1331r,accept,2016-07-11 18:09:01,43871
1331r,send decision e-mail,2016-07-11 18:09:01,6871
1332r,register application,2016-07-11 10:09:01,4871
1332r,check credit,2016-07-11 13:09:01,4871
1332r,calculate capacity,2016-07-11 12:09:01,23871
1332r,check system,2016-07-11 18:09:01,5871
1332r,accept,2016-07-11 18:09:01,43871
1332r,send decision e-mail,2016-07-11 18:09:01,6871
1333r,register application,2016-07-11 10:09:01,4871
1333r,check credit,2016-07-11 13:09:01,4871
1333r,calculate capacity,2016-07-11 12:09:01,23871
1333r,check system,2016-07-11 18:09:01,5871
1333r,accept,2016-07-11 18:09:01,43871
1333r,send decision e-mail,2016-07-11 18:09:01,6871
1334r,register application,2016-07-11 10:09:01,4871
1334r,check credit,2016-07-11 13:09:01,4871
1334r,calculate capacity,2016-07-11 12:09:01,23871
1334r,check system,2016-07-11 18:09:01,5871
1334r,accept,2016-07-11 18:09:01,43871
1334r,send decision e-mail,2016-07-11 18:09:01,6871
1335r,register application,2016-07-11 10:09:01,4871
1335r,check credit,2016-07-11 13:09:01,4871
1335r,calculate capacity,2016-07-11 12:09:01,23871
1335r,check system,2016-07-11 18:09:01,5871
1335r,accept,2016-07-11 18:09:01,43871
1335r,send decision e-mail,2016-07-11 18:09:01,6871
1336r,register application,2016-07-11 10:09:01,4871
1336r,check credit,2016-07-11 13:09:01,4871
1336r,calculate capacity,2016-07-11 12:09:01,23871
1336r,check system,2016-07-11 18:09:01,5871
1336r,accept,2016-07-11 18:09:01,43871
1336r,send decision e-mail,2016-07-11 18:09:01,6871
1337r,register application,2016-07-11 10:09:01,4871
1337r,check credit,2016-07-11 13:09:01,4871
1337r,calculate capacity,2016-07-11 12:09:01,23871
1337r,check system,2016-07-11 18:09:01,5871
1337r,accept,2016-07-11 18:09:01,43871
1337r,send decision e-mail,2016-07-11 18:09:01,6871
1338r,register application,2016-07-12 10:09:01,4871
1338r,check credit,2016-07-12 13:09:01,4871
1338r,calculate capacity,2016-07-12 12:09:01,23871
1338r,check system,2016-07-12 18:09:01,5871
1338r,accept,2016-07-12 18:09:01,43871
1338r,send decision e-mail,2016-07-12 18:28:01,5752
1339r,register application,2016-07-12 10:28:01,3752
1339r,check credit,2016-07-12 13:28:01,3752
1339r,calculate capacity,2016-07-12 12:28:01,22752
1339r,check system,2016-07-12 18:28:01,4752
1339r,accept,2016-07-12 18:28:01,42752
1339r,send decision e-mail,2016-07-12 18:28:01,5752
1340r,register application,2016-07-12 10:28:01,3752
1340r,check credit,2016-07-12 13:28:01,3752
1340r,calculate capacity,2016-07-12 12:28:01,22752
1340r,check system,2016-07-12 18:28:01,4752
1340r,accept,2016-07-12 18:28:01,42752
1340r,send decision e-mail,2016-07-12 18:28:01,5752
1341r,register application,2016-07-12 10:28:01,3752
1341r,check credit,2016-07-12 13:28:01,3752
1341r,calculate capacity,2016-07-12 12:28:01,22752
1341r,check system,2016-07-12 18:28:01,4752
1341r,accept,2016-07-12 18:28:01,42752
1341r,send decision e-mail,2016-07-12 18:28:01,5752
1342r,register application,2016-07-12 10:28:01,3752
1342r,check credit,2016-07-12 13:28:01,3752
1342r,calculate capacity,2016-07-12 12:28:01,22752
1342r,check system,2016-07-12 18:28:01,4752
1342r,accept,2016-07-12 18:28:01,42752
1342r,send decision e-mail,2016-07-12 18:28:01,5752
1343r,register application,2016-07-12 10:28:01,3752
1343r,check credit,2016-07-12 13:28:01,3752
1343r,calculate capacity,2016-07-12 12:28:01,22752
1343r,check system,2016-07-12 18:28:01,4752
1343r,accept,2016-07-12 18:28:01,42752
1343r,send decision e-mail,2016-07-12 18:28:01,5752
1344r,register application,2016-07-12 10:28:01,3752
1344r,check credit,2016-07-12 13:28:01,3752
1344r,calculate capacity,2016-07-12 12:28:01,22752
1344r,check system,2016-07-12 18:28:01,4752
1344r,accept,2016-07-12 18:28:01,42752
1344r,send decision e-mail,2016-07-12 18:28:01,5752
1345r,register application,2016-07-13 10:28:01,3752
1345r,check credit,2016-07-13 13:28:01,3752
1345r,calculate capacity,2016-07-13 12:28:01,22752
1345r,check system,2016-07-13 18:28:01,4752
1345r,accept,2016-07-13 18:28:01,42752
1345r,send decision e-mail,2016-07-13 18:28:01,5752
1346r,register application,2016-07-13 10:28:01,3752
1346r,check credit,2016-07-13 13:28:01,3752
1346r,calculate capacity,2016-07-13 12:28:01,22752
1346r,check system,2016-07-13 18:28:01,4752
1346r,accept,2016-07-13 18:28:01,42752
1346r,send decision e-mail,2016-07-13 18:28:01,5752
1347r,register application,2016-07-13 10:28:01,3752
1347r,check credit,2016-07-13 13:28:01,3752
1347r,calculate capacity,2016-07-13 12:28:01,22752
1347r,check system,2016-07-13 18:28:01,4752
1347r,accept,2016-07-13 18:28:01,42752
1347r,send decision e-mail,2016-07-13 18:28:01,5752
1348r,register application,2016-07-13 10:28:01,3752
1348r,check credit,2016-07-13 13:04:01,5002
1348r,calculate capacity,2016-07-13 12:04:01,24002
1348r,check system,2016-07-13 18:04:01,6002
1348r,accept,2016-07-13 18:04:01,44002
1348r,send decision e-mail,2016-07-13 18:04:01,7002
1349r,register application,2016-07-13 10:04:01,5002
1349r,check credit,2016-07-13 13:04:01,5002
1349r,calculate capacity,2016-07-13 12:04:01,24002
1349r,check system,2016-07-13 18:04:01,6002
1349r,accept,2016-07-13 18:04:01,44002
1349r,send decision e-mail,2016-07-13 18:04:01,7002
1350r,register application,2016-07-13 10:04:01,5002
1350r,check credit,2016-07-13 13:04:01,5002
1350r,calculate capacity,2016-07-13 12:04:01,24002
1350r,check system,2016-07-13 18:04:01,6002
1350r,accept,2016-07-13 18:04:01,44002
1350r,send decision e-mail,2016-07-13 18:04:01,7002
1351r,register application,2016-07-13 10:04:01,5002
1351r,check credit,2016-07-13 13:04:01,5002
1351r,calculate capacity,2016-07-13 12:04:01,24002
1351r,check system,2016-07-13 18:04:01,6002
1351r,accept,2016-07-13 18:04:01,44002
1351r,send decision e-mail,2016-07-13 18:04:01,7002
1352r,register application,2016-07-14 10:04:01,5002
1352r,check credit,2016-07-14 13:04:01,5002
1352r,calculate capacity,2016-07-14 12:04:01,24002
1352r,check system,2016-07-14 18:04:01,6002
1352r,accept,2016-07-14 18:04:01,44002
1352r,send decision e-mail,2016-07-14 18:04:01,7002
1353r,register application,2016-07-14 10:04:01,5002
1353r,check credit,2016-07-14 13:04:01,5002
1353r,calculate capacity,2016-07-14 12:04:01,24002
1353r,check system,2016-07-14 18:04:01,6002
1353r,accept,2016-07-14 18:04:01,44002
1353r,send decision e-mail,2016-07-14 18:04:01,7002
1354r,register application,2016-07-14 10:04:01,5002
1354r,check credit,2016-07-14 13:04:01,5002
1354r,calculate capacity,2016-07-14 12:04:01,24002
1354r,check system,2016-07-14 18:04:01,6002
1354r,accept,2016-07-14 18:04:01,44002
1354r,send decision e-mail,2016-07-14 18:04:01,7002
1355r,register application,2016-07-14 10:04:01,5002
1355r,check credit,2016-07-14 13:04:01,5002
1355r,calculate capacity,2016-07-14 12:04:01,24002
1355r,check system,2016-07-14 18:04:01,6002
1355r,accept,2016-07-14 18:04:01,44002
1355r,send decision e-mail,2016-07-14 18:04:01,7002
1356r,register application,2016-07-14 10:04:01,5002
1356r,check credit,2016-07-14 13:04:01,5002
1356r,calculate capacity,2016-07-14 12:04:01,24002
1356r,check system,2016-07-14 18:04:01,6002
1356r,accept,2016-07-14 18:04:01,44002
1356r,send decision e-mail,2016-07-14 18:04:01,7002
1357r,register application,2016-07-14 10:04:01,5002
1357r,check credit,2016-07-14 13:04:01,5002
1357r,calculate capacity,2016-07-14 12:52:01,21939
1357r,check system,2016-07-14 18:52:01,3939
1357r,accept,2016-07-14 18:52:01,41939
1357r,send decision e-mail,2016-07-14 18:52:01,4939
1358r,register application,2016-07-14 10:52:01,2939
1358r,check credit,2016-07-14 13:52:01,2939
1358r,calculate capacity,2016-07-14 12:52:01,21939
1358r,check system,2016-07-14 18:52:01,3939
1358r,accept,2016-07-14 18:52:01,41939
1358r,send decision e-mail,2016-07-14 18:52:01,4939
1359r,register application,2016-07-15 10:52:01,2939
1359r,check credit,2016-07-15 13:52:01,2939
1359r,calculate capacity,2016-07-15 12:52:01,21939
1359r,check system,2016-07-15 18:52:01,3939
1359r,accept,2016-07-15 18:52:01,41939
1359r,send decision e-mail,2016-07-15 18:52:01,4939
1360r,register application,2016-07-15 10:52:01,2939
1360r,check credit,2016-07-15 13:52:01,2939
1360r,calculate capacity,2016-07-15 12:52:01,21939
1360r,check system,2016-07-15 18:52:01,3939
1360r,accept,2016-07-15 18:52:01,41939
1360r,send decision e-mail,2016-07-15 18:52:01,4939
1361r,register application,2016-07-15 10:52:01,2939
1361r,check credit,2016-07-15 13:52:01,2939
1361r,calculate capacity,2016-07-15 12:52:01,21939
1361r,check system,2016-07-15 18:52:01,3939
1361r,accept,2016-07-15 18:52:01,41939
1361r,send decision e-mail,2016-07-15 18:52:01,4939
1362r,register application,2016-07-15 10:52:01,2939
1362r,check credit,2016-07-15 13:52:01,2939
1362r,calculate capacity,2016-07-15 12:52:01,21939
1362r,check system,2016-07-15 18:52:01,3939
1362r,accept,2016-07-15 18:52:01,41939
1362r,send decision e-mail,2016-07-15 18:52:01,4939
1363r,register application,2016-07-15 10:52:01,2939
1363r,check credit,2016-07-15 13:52:01,2939
1363r,calculate capacity,2016-07-15 12:52:01,21939
1363r,check system,2016-07-15 18:52:01,3939
1363r,accept,2016-07-15 18:52:01,41939
1363r,send decision e-mail,2016-07-15 18:52:01,4939
1364r,register application,2016-07-15 10:52:01,2939
